,Unnamed: 0,时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,湿度,室温,叶绿素,藻密度
140,140,2022-08-30 12:00:00,21.878,8.23,6.152,239.024,7.812,0.754,0.0,0.007,0.278,,,,
141,141,2022-08-30 08:00:00,21.686,8.14,5.75,241.04,15.091,1.013,0.0,0.01,0.353,,,,
142,142,2022-08-30 04:00:00,21.764,8.15,5.858,240.42,43.803,0.753,0.0,0.008,0.266,,,,
143,143,2022-08-30 00:00:00,21.793,8.18,6.082,238.18,67.641,0.673,0.001,0.006,0.248,,,,
144,144,2022-08-29 20:00:00,21.878,8.26,6.209,236.579,62.535,0.69,0.0,0.005,0.239,,,,
145,145,2022-08-29 16:00:00,21.989,8.28,6.356,236.177,114.119,1.002,0.001,0.007,0.287,,,,
146,146,2022-08-29 12:00:00,21.927,8.19,5.997,239.873,79.108,1.132,0.001,0.011,0.402,,,,
147,147,2022-08-29 08:00:00,21.742,8.13,5.794,241.118,49.641,0.79,0.001,0.007,0.284,,,,
148,148,2022-08-29 04:00:00,21.798,8.16,5.873,239.952,73.601,0.807,0.0,0.007,0.261,,,,
149,149,2022-08-29 00:00:00,21.825,8.18,6.12,238.5,51.306,0.74,0.0,0.006,0.23,,,,
150,150,2022-08-28 20:00:00,21.899,8.27,6.305,236.94,64.988,0.774,0.0,0.007,0.257,,,,
151,151,2022-08-28 16:00:00,21.97,8.28,6.238,237.237,55.344,0.897,0.0,0.006,0.258,,,,
152,152,2022-08-28 12:00:00,21.757,8.2,5.866,240.526,44.278,0.963,0.001,0.008,0.279,,,,
153,153,2022-08-28 08:00:00,21.63,8.15,5.708,241.822,28.437,0.963,0.001,0.009,0.276,,,,
154,154,2022-08-28 04:00:00,21.688,8.19,5.823,240.684,48.713,0.895,0.001,0.006,0.277,,,,
155,155,2022-08-28 00:00:00,21.784,8.27,5.97,238.428,50.009,0.874,0.002,0.008,0.256,,,,
156,156,2022-08-27 20:00:00,21.957,8.27,6.136,238.572,75.592,0.805,0.0,0.008,0.264,,,,
157,157,2022-08-27 16:00:00,22.013,8.25,6.345,236.826,63.398,0.704,0.001,0.009,0.273,,,,
158,158,2022-08-27 12:00:00,21.964,8.18,5.899,239.883,39.806,0.572,0.0,0.005,0.228,,,,
159,159,2022-08-27 08:00:00,21.809,8.13,5.912,240.503,86.154,0.572,0.0,0.005,0.228,,,,
160,160,2022-08-27 04:00:00,21.934,8.15,5.828,240.402,73.54,0.668,0.0,0.008,0.248,,,,
161,161,2022-08-27 00:00:00,21.967,8.18,5.954,239.448,55.428,0.542,0.001,0.006,0.234,,,,
162,162,2022-08-26 20:00:00,22.026,8.26,6.338,236.273,93.872,0.719,0.0,0.007,0.235,,,,
163,163,2022-08-26 16:00:00,22.085,8.24,6.302,236.349,102.545,0.769,0.001,0.003,0.235,,,,
164,164,2022-08-26 12:00:00,22.112,8.18,6.098,238.938,57.881,0.664,0.001,0.005,0.217,,,,
165,165,2022-08-26 08:00:00,21.999,8.19,5.945,239.559,45.64,0.79,0.0,0.005,0.237,,,,
166,166,2022-08-26 04:00:00,22.144,8.18,5.831,240.379,47.188,0.593,0.001,0.007,0.241,,,,
167,167,2022-08-26 00:00:00,21.988,8.14,5.933,239.186,108.924,0.719,0.001,0.007,0.266,,,,
168,168,2022-08-25 20:00:00,21.99,8.24,6.145,237.688,100.442,0.681,0.0,0.004,0.235,,,,
169,169,2022-08-25 16:00:00,22.124,8.26,6.215,237.225,94.441,0.702,0.001,0.007,0.232,,,,
170,170,2022-08-25 12:00:00,21.913,8.17,5.937,239.774,46.512,0.715,0.001,0.009,0.258,,,,
171,171,2022-08-25 08:00:00,21.767,8.14,5.905,240.452,48.811,0.67,0.001,0.009,0.249,,,,
172,172,2022-08-25 04:00:00,21.853,8.17,6.007,238.852,54.239,0.765,0.0,0.007,0.237,,,,
173,173,2022-08-25 00:00:00,21.965,8.16,5.896,238.924,53.101,0.955,0.0,0.006,0.239,,,,
174,174,2022-08-24 20:00:00,21.967,8.22,6.005,238.059,52.784,0.807,0.0,0.008,0.257,,,,
175,175,2022-08-24 16:00:00,22.261,8.2,6.053,237.464,11.072,0.796,0.001,0.004,0.239,,,,
176,176,2022-08-24 12:00:00,22.019,8.18,5.876,238.722,48.499,0.765,0.0,0.007,0.242,,,,
177,177,2022-08-24 08:00:00,21.859,8.14,5.81,240.348,85.394,0.858,0.002,0.006,0.266,,,,
178,178,2022-08-24 04:00:00,21.892,8.21,6.114,237.965,176.592,0.74,0.0,0.007,0.232,,,,
179,179,2022-08-24 00:00:00,21.984,8.26,6.192,235.883,83.752,0.534,0.0,0.006,0.236,,,,
180,180,2022-08-23 20:00:00,22.369,8.27,6.325,234.903,21.331,0.727,0.002,0.005,0.227,,,,
181,181,2022-08-23 08:00:00,21.94,8.2,5.922,239.569,55.498,0.664,0.001,0.006,0.236,,,,
182,182,2022-08-23 04:00:00,21.967,8.2,5.924,238.721,20.911,0.807,0.001,0.008,0.233,,,,
183,183,2022-08-23 00:00:00,22.018,8.25,6.2,236.658,45.906,0.717,0.001,0.009,0.213,,,,
184,184,2022-08-22 20:00:00,21.964,8.31,6.418,234.037,44.777,0.692,0.001,0.006,0.211,,,,
185,185,2022-08-22 16:00:00,21.971,8.29,6.012,235.389,28.251,0.822,0.001,0.009,0.249,,,,
186,186,2022-08-22 12:00:00,21.86,8.18,6.075,236.934,38.794,0.689,0.001,0.004,0.21,,,,
187,187,2022-08-22 08:00:00,21.69,8.05,5.684,239.788,17.241,0.74,0.001,0.006,0.259,,,,
188,188,2022-08-22 04:00:00,21.702,8.16,6.101,237.292,27.029,0.589,0.0,0.007,0.256,,,,
189,189,2022-08-22 00:00:00,21.747,8.18,6.077,237.251,31.846,0.839,0.001,0.008,0.237,,,,
190,190,2022-08-21 20:00:00,21.737,8.32,6.474,235.814,17.95,0.748,0.0,0.008,0.283,,,,
191,191,2022-08-21 16:00:00,21.798,8.31,6.524,235.853,43.001,0.75,0.0,0.005,0.227,,,,
192,192,2022-08-21 12:00:00,21.609,8.21,6.25,238.284,21.928,0.639,0.001,0.008,0.235,,,,
193,193,2022-08-21 08:00:00,21.462,8.16,6.018,240.314,42.32,0.87,0.0,0.006,0.234,,,,
194,194,2022-08-21 04:00:00,21.579,8.13,5.724,241.113,11.314,1.013,0.001,0.007,0.273,,,,
195,195,2022-08-21 00:00:00,21.574,8.23,6.167,237.942,13.226,1.043,0.001,0.008,0.277,,,,
196,196,2022-08-20 20:00:00,21.652,8.31,6.41,236.773,9.402,0.938,0.001,0.006,0.222,,,,
197,197,2022-08-20 16:00:00,21.724,8.31,6.176,236.958,5.019,0.766,0.0,0.005,0.232,,,,
198,198,2022-08-20 08:00:00,21.548,8.11,5.838,241.014,6.698,0.807,,0.005,0.233,,,,
199,199,2022-08-20 00:00:00,21.684,8.3,6.335,235.911,62.036,0.702,0.004,,0.261,,,,
200,200,2022-08-19 04:00:00,21.41,8.22,5.922,240.023,103.599,0.889,0.014,0.006,0.24,,,,
201,201,2022-08-19 00:00:00,21.507,8.26,6.077,238.615,110.244,0.864,0.014,0.006,0.238,,,,
202,202,2022-08-18 20:00:00,21.578,8.3,6.175,237.721,67.1,0.758,0.014,0.006,0.232,,,,
203,203,2022-08-18 16:00:00,21.711,8.31,6.326,234.712,102.652,0.826,0.014,0.006,0.242,,,,
204,204,2022-08-18 12:00:00,21.547,8.19,5.964,238.055,97.625,0.887,0.014,0.006,0.257,,,,
205,205,2022-08-18 08:00:00,21.467,8.16,5.836,239.401,40.212,0.778,0.014,0.006,0.239,,,,
206,206,2022-08-18 04:00:00,21.445,8.17,5.918,239.068,29.361,0.935,0.014,0.006,0.262,,,,
207,207,2022-08-18 00:00:00,21.441,8.24,6.2,237.957,84.079,0.74,0.014,0.006,0.233,,,,
208,208,2022-08-17 20:00:00,21.57,8.29,6.396,235.218,51.32,0.929,0.014,0.006,0.237,,,,
209,209,2022-08-17 16:00:00,21.592,8.27,6.587,234.29,68.919,0.805,0.014,0.006,0.232,,,,
210,210,2022-08-17 12:00:00,21.488,8.15,6.053,236.551,30.844,0.972,0.014,0.006,0.259,,,,
211,211,2022-08-17 08:00:00,21.469,8.21,6.224,235.047,64.4,0.639,0.014,0.006,0.243,,,,
212,212,2022-08-17 04:00:00,21.545,8.26,6.519,231.66,38.762,0.727,0.01,0.006,0.235,,,,
213,213,2022-08-17 00:00:00,21.545,8.29,6.627,232.055,27.248,0.967,0.011,0.006,0.245,,,,
214,214,2022-08-16 20:00:00,21.55,8.36,6.811,231.72,37.195,0.916,0.01,0.006,0.216,,,,
215,215,2022-08-16 16:00:00,21.58,8.36,6.559,234.523,43.271,0.874,0.009,0.006,0.222,,,,
216,216,2022-08-16 12:00:00,21.301,8.24,6.059,238.495,12.792,0.767,0.008,0.006,0.248,,,,
217,217,2022-08-16 08:00:00,21.184,8.2,6.075,238.746,19.335,0.921,0.007,0.007,0.259,,,,
218,218,2022-08-16 04:00:00,21.298,8.24,6.123,236.875,28.13,0.733,0.007,0.007,0.234,,,,
219,219,2022-08-16 00:00:00,21.324,8.26,6.225,235.292,11.174,0.731,0.007,0.005,0.249,,,,
220,220,2022-08-15 20:00:00,21.344,8.35,6.451,233.998,18.99,0.862,0.006,0.006,0.23,,,,
221,221,2022-08-15 16:00:00,21.408,8.37,6.482,234.971,9.085,0.796,0.004,0.006,0.231,,,,
222,222,2022-08-15 12:00:00,21.171,8.27,5.984,237.449,8.19,0.685,0.005,0.007,0.256,,,,
223,223,2022-08-15 08:00:00,21.066,8.29,6.053,237.805,5.177,0.866,0.004,0.006,0.22,,,,
224,224,2022-08-15 04:00:00,21.073,8.28,6.237,236.052,98.078,,,,,,,,
225,225,2022-08-15 00:00:00,21.184,8.37,6.491,233.525,48.923,0.843,0.002,0.009,0.226,,,,
226,226,2022-08-14 20:00:00,21.266,8.4,6.546,233.996,64.633,0.874,0.002,0.006,0.236,,,,
227,227,2022-08-14 16:00:00,21.408,8.39,6.412,234.982,43.681,0.834,0.002,0.004,0.233,,,,
228,228,2022-08-14 12:00:00,21.185,8.26,5.914,239.289,25.584,0.955,0.002,0.008,0.247,,,,
229,229,2022-08-14 08:00:00,22.189,8.19,6.106,241.076,80.213,0.887,0.0,0.008,0.065,,,,
230,230,2022-08-14 04:00:00,22.482,8.2,6.083,240.574,43.667,0.696,0.001,0.008,0.052,,,,
231,231,2022-08-14 00:00:00,22.799,8.31,6.055,238.522,51.684,0.825,0.001,0.007,0.051,,,,
232,232,2022-08-13 20:00:00,23.176,8.33,5.99,236.712,48.853,0.954,0.048,0.007,0.019,,,,
233,233,2022-08-13 16:00:00,23.959,8.33,5.921,236.173,59.196,0.925,0.048,0.007,0.019,,,,
234,234,2022-08-13 12:00:00,23.939,8.24,5.917,238.035,69.474,0.846,0.048,0.007,0.019,,,,
235,235,2022-08-13 08:00:00,23.641,8.24,5.946,238.518,40.884,0.916,0.042,0.007,0.037,,,,
236,236,2022-08-13 04:00:00,23.944,8.24,5.899,236.776,38.505,0.787,0.042,0.006,0.028,,,,
237,237,2022-08-13 00:00:00,23.99,8.25,5.912,235.472,65.575,0.916,0.046,0.008,0.039,,,,
238,238,2022-08-12 20:00:00,24.399,8.35,5.838,232.879,74.869,0.727,0.042,0.008,0.008,,,,
239,239,2022-08-12 16:00:00,24.051,8.35,5.903,232.53,38.435,0.858,0.039,0.009,0.035,,,,
240,240,2022-08-12 12:00:00,23.476,8.19,5.974,235.295,85.972,0.837,0.042,0.008,0.013,,,,
241,241,2022-08-12 08:00:00,23.065,8.12,6.025,238.049,59.49,0.779,0.046,0.009,0.047,,,,
242,242,2022-08-12 04:00:00,23.478,8.18,5.96,236.981,42.525,0.622,0.041,0.007,0.045,,,,
